time_ms,req_id,node_id,content_id,file_size_MB,algo,path,server_node,latency_ms,throughput_mbps,http_code,cache_status,download_time
0,1,GS_01,telemetry_UAV_02,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_02']",UAV_02,6.536547988882125,20.0,200,HIT,46.53654798888213
100,2,GS_01,telemetry_UAV_03,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_03']",UAV_03,6.538955970831058,20.0,200,HIT,46.538955970831054
100,3,GS_01,telemetry_UAV_01,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_01']",UAV_01,6.475003601052423,20.0,200,HIT,46.47500360105242
100,4,GS_01,low_res_img_UAV_03,5.0,Stability-First,"['GS_01', 'SAT_63578', 'UAV_03']",UAV_03,6.320217983405998,20.0,200,HIT,2006.320217983406
100,5,GS_01,low_res_img_UAV_01,5.0,Stability-First,"['GS_01', 'SAT_63578', 'UAV_01']",UAV_01,6.521721206643736,20.0,200,HIT,2006.5217212066436
100,6,GS_01,low_res_img_UAV_02,5.0,Stability-First,"['GS_01', 'SAT_63578', 'UAV_02']",UAV_02,6.612621255558149,20.0,200,HIT,2006.6126212555582
1100,7,GS_01,telemetry_UAV_02,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_02']",UAV_02,6.261446353717138,20.0,200,HIT,46.26144635371714
1100,8,GS_01,telemetry_UAV_01,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_01']",UAV_01,7.021166946058251,20.0,200,HIT,47.02116694605825
1100,9,GS_01,telemetry_UAV_03,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_03']",UAV_03,6.695945379918308,20.0,200,HIT,46.69594537991831
2100,10,GS_01,telemetry_UAV_02,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_02']",UAV_02,6.529551779139901,20.0,200,HIT,46.5295517791399
2100,11,GS_01,telemetry_UAV_03,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_03']",UAV_03,6.3644594295645,20.0,200,HIT,46.3644594295645
2100,12,GS_01,telemetry_UAV_01,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_01']",UAV_01,6.405058711103252,20.0,200,HIT,46.40505871110325
2100,13,GS_01,low_res_img_UAV_02,5.0,Stability-First,"['GS_01', 'SAT_63578', 'UAV_02']",UAV_02,7.0289631737099345,20.0,200,HIT,2007.0289631737098
2100,14,GS_01,low_res_img_UAV_01,5.0,Stability-First,"['GS_01', 'SAT_63578', 'UAV_01']",UAV_01,6.807750118786069,20.0,200,HIT,2006.807750118786
2100,15,GS_01,low_res_img_UAV_03,5.0,Stability-First,"['GS_01', 'SAT_63578', 'UAV_03']",UAV_03,6.894069922604723,20.0,200,HIT,2006.8940699226048
3100,16,GS_01,telemetry_UAV_02,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_02']",UAV_02,6.47007152275207,20.0,200,HIT,46.47007152275207
3100,17,GS_01,telemetry_UAV_03,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_03']",UAV_03,7.0528166363383935,20.0,200,HIT,47.05281663633839
3100,18,GS_01,telemetry_UAV_01,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_01']",UAV_01,6.990108086193405,20.0,200,HIT,46.9901080861934
4100,19,GS_01,telemetry_UAV_03,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_03']",UAV_03,7.068425191193954,20.0,200,HIT,47.06842519119395
4100,20,GS_01,telemetry_UAV_02,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_02']",UAV_02,6.830857631595716,20.0,200,HIT,46.83085763159572
4100,21,GS_01,low_res_img_UAV_03,5.0,Stability-First,"['GS_01', 'SAT_63578', 'UAV_03']",UAV_03,6.166432787538138,20.0,200,HIT,2006.166432787538
4100,22,GS_01,telemetry_UAV_01,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_01']",UAV_01,6.837867269742064,20.0,200,HIT,46.83786726974206
4100,23,GS_01,low_res_img_UAV_02,5.0,Stability-First,"['GS_01', 'SAT_63578', 'UAV_02']",UAV_02,6.626111145019891,20.0,200,HIT,2006.6261111450199
4100,24,GS_01,low_res_img_UAV_01,5.0,Stability-First,"['GS_01', 'SAT_63578', 'UAV_01']",UAV_01,6.311844861280931,20.0,200,HIT,2006.3118448612809
5100,25,GS_01,telemetry_UAV_02,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_02']",UAV_02,6.891301677191501,20.0,200,HIT,46.8913016771915
5100,26,GS_01,telemetry_UAV_01,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_01']",UAV_01,6.329381364905785,20.0,200,HIT,46.329381364905785
5100,27,GS_01,telemetry_UAV_03,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_03']",UAV_03,6.481423990166165,20.0,200,HIT,46.481423990166164
6000,28,GS_01,telemetry_UAV_03,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_03']",UAV_03,6.489004635872067,20.0,200,HIT,46.489004635872064
6100,29,GS_01,telemetry_UAV_01,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_01']",UAV_01,6.393586769288142,20.0,200,HIT,46.39358676928814
6100,30,GS_01,telemetry_UAV_02,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_02']",UAV_02,7.254243438424624,20.0,200,HIT,47.25424343842462
6100,31,GS_01,low_res_img_UAV_02,5.0,Stability-First,"['GS_01', 'SAT_63578', 'UAV_02']",UAV_02,6.641909474772717,20.0,200,HIT,2006.6419094747728
6100,32,GS_01,low_res_img_UAV_03,5.0,Stability-First,"['GS_01', 'SAT_63578', 'UAV_03']",UAV_03,6.919224290908826,20.0,200,HIT,2006.919224290909
6100,33,GS_01,low_res_img_UAV_01,5.0,Stability-First,"['GS_01', 'SAT_63578', 'UAV_01']",UAV_01,6.607902913372646,20.0,200,HIT,2006.6079029133728
7100,34,GS_01,telemetry_UAV_03,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_03']",UAV_03,6.405795220660829,20.0,200,HIT,46.40579522066083
7100,35,GS_01,telemetry_UAV_01,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_01']",UAV_01,6.175078342048341,20.0,200,HIT,46.17507834204834
7100,36,GS_01,telemetry_UAV_02,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_02']",UAV_02,6.37345347046972,20.0,200,HIT,46.37345347046972
8100,37,GS_01,low_res_img_UAV_03,5.0,Stability-First,"['GS_01', 'SAT_63578', 'UAV_03']",UAV_03,6.435059425400171,20.0,200,HIT,2006.4350594254001
8100,38,GS_01,telemetry_UAV_02,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_02']",UAV_02,6.16445588733087,20.0,200,HIT,46.164455887330874
8100,39,GS_01,telemetry_UAV_03,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_03']",UAV_03,7.072845473415568,20.0,200,HIT,47.07284547341557
8100,40,GS_01,telemetry_UAV_01,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_01']",UAV_01,6.472603037486962,20.0,200,HIT,46.47260303748696
8100,41,GS_01,low_res_img_UAV_02,5.0,Stability-First,"['GS_01', 'SAT_63578', 'UAV_02']",UAV_02,6.958291944396819,20.0,200,HIT,2006.958291944397
8100,42,GS_01,low_res_img_UAV_01,5.0,Stability-First,"['GS_01', 'SAT_63578', 'UAV_01']",UAV_01,6.4724815470696795,20.0,200,HIT,2006.4724815470697
9100,43,GS_01,telemetry_UAV_03,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_03']",UAV_03,6.861104996713523,20.0,200,HIT,46.86110499671352
9100,44,GS_01,telemetry_UAV_02,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_02']",UAV_02,6.955567305202035,20.0,200,HIT,46.95556730520204
9100,45,GS_01,telemetry_UAV_01,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_01']",UAV_01,6.865753064404439,20.0,200,HIT,46.86575306440444
10100,46,GS_01,telemetry_UAV_03,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_03']",UAV_03,6.8704622860770215,20.0,200,HIT,46.87046228607702
10100,47,GS_01,low_res_img_UAV_01,5.0,Stability-First,"['GS_01', 'SAT_63578', 'UAV_01']",UAV_01,7.276377526729483,20.0,200,HIT,2007.2763775267294
10100,48,GS_01,telemetry_UAV_02,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_02']",UAV_02,6.778739131461785,20.0,200,HIT,46.77873913146178
10100,49,GS_01,telemetry_UAV_01,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_01']",UAV_01,6.360557640806521,20.0,200,HIT,46.36055764080652
10100,50,GS_01,low_res_img_UAV_03,5.0,Stability-First,"['GS_01', 'SAT_63578', 'UAV_03']",UAV_03,6.745731745668061,20.0,200,HIT,2006.745731745668
10100,51,GS_01,low_res_img_UAV_02,5.0,Stability-First,"['GS_01', 'SAT_63578', 'UAV_02']",UAV_02,6.9838543254167345,20.0,200,HIT,2006.9838543254168
11100,52,GS_01,telemetry_UAV_03,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_03']",UAV_03,6.623912224534967,20.0,200,HIT,46.62391222453497
11100,53,GS_01,telemetry_UAV_02,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_02']",UAV_02,6.451235785509618,20.0,200,HIT,46.45123578550962
11100,54,GS_01,telemetry_UAV_01,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_01']",UAV_01,6.5480266085895815,20.0,200,HIT,46.54802660858958
12000,55,GS_01,low_res_img_UAV_01,5.0,Stability-First,"['GS_01', 'SAT_63578', 'UAV_01']",UAV_01,6.422678581011793,20.0,200,HIT,2006.4226785810117
12100,56,GS_01,telemetry_UAV_02,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_02']",UAV_02,6.355150358314484,20.0,200,HIT,46.35515035831448
12100,57,GS_01,telemetry_UAV_03,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_03']",UAV_03,6.447462766319795,20.0,200,HIT,46.447462766319795
12100,58,GS_01,low_res_img_UAV_03,5.0,Stability-First,"['GS_01', 'SAT_63578', 'UAV_03']",UAV_03,6.587312516185573,20.0,200,HIT,2006.5873125161856
