time_ms,req_id,node_id,content_id,file_size_MB,algo,path,server_node,latency_ms,throughput_mbps,http_code,cache_status,download_time
100,1,GS_01,low_res_img_UAV_03,5.0,Stability-First,"['GS_01', 'SAT_63578', 'UAV_03']",UAV_03,6.73143568641226,20.0,200,HIT,2006.7314356864122
100,2,GS_01,telemetry_UAV_02,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_02']",UAV_02,6.632398968596922,20.0,200,HIT,46.632398968596924
100,3,GS_01,telemetry_UAV_01,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_01']",UAV_01,6.74483749963812,20.0,200,HIT,46.74483749963812
100,4,GS_01,low_res_img_UAV_02,5.0,Stability-First,"['GS_01', 'SAT_63578', 'UAV_02']",UAV_02,7.02448650492772,20.0,200,HIT,2007.0244865049276
100,5,GS_01,telemetry_UAV_03,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_03']",UAV_03,6.89864978220367,20.0,200,HIT,46.89864978220367
100,6,GS_01,low_res_img_UAV_01,5.0,Stability-First,"['GS_01', 'SAT_63578', 'UAV_01']",UAV_01,6.360770616547991,20.0,200,HIT,2006.360770616548
1100,7,GS_01,telemetry_UAV_03,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_03']",UAV_03,7.107691284832064,20.0,200,HIT,47.107691284832065
1100,8,GS_01,telemetry_UAV_02,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_02']",UAV_02,7.0966836112869665,20.0,200,HIT,47.09668361128696
1100,9,GS_01,telemetry_UAV_01,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_01']",UAV_01,6.943534383424052,20.0,200,HIT,46.94353438342405
2100,10,GS_01,telemetry_UAV_01,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_01']",UAV_01,6.466428688901893,20.0,200,HIT,46.46642868890189
2100,11,GS_01,telemetry_UAV_03,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_03']",UAV_03,6.7850509981379075,20.0,200,HIT,46.785050998137905
2100,12,GS_01,low_res_img_UAV_03,5.0,Stability-First,"['GS_01', 'SAT_63578', 'UAV_03']",UAV_03,6.889093443076856,20.0,200,HIT,2006.889093443077
2100,13,GS_01,telemetry_UAV_02,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_02']",UAV_02,6.857141164096136,20.0,200,HIT,46.857141164096134
2100,14,GS_01,low_res_img_UAV_01,5.0,Stability-First,"['GS_01', 'SAT_63578', 'UAV_01']",UAV_01,7.303271550161302,20.0,200,HIT,2007.3032715501613
