time_ms,req_id,node_id,content_id,file_size_MB,algo,path,server_node,latency_ms,throughput_mbps,http_code,cache_status,download_time
100,1,GS_01,telemetry_UAV_03,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_03']",UAV_03,6.7694101307904155,20.0,200,HIT,46.76941013079042
100,2,UAV_03,status_update_UAV_03,0.2,Latency-Balanced,['UAV_03'],UAV_03,0.0,inf,200,HIT,0.0
100,3,GS_01,telemetry_UAV_02,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_02']",UAV_02,6.465094845334853,20.0,200,HIT,46.46509484533485
100,4,GS_01,telemetry_UAV_01,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_01']",UAV_01,6.6140142317637745,20.0,200,HIT,46.614014231763775
100,5,GS_01,low_res_img_UAV_01,5.0,Stability-First,"['GS_01', 'SAT_63578', 'UAV_01']",UAV_01,7.259230805039525,20.0,200,HIT,2007.2592308050396
100,6,UAV_01,status_update_UAV_01,0.2,Latency-Balanced,['UAV_01'],UAV_01,0.0,inf,200,HIT,0.0
100,7,GS_01,low_res_img_UAV_02,5.0,Stability-First,"['GS_01', 'SAT_63578', 'UAV_02']",UAV_02,6.403966360751195,20.0,200,HIT,2006.4039663607512
100,8,UAV_02,status_update_UAV_02,0.2,Latency-Balanced,['UAV_02'],UAV_02,0.0,inf,200,HIT,0.0
100,9,UAV_03,fuel_status_UAV_03,0.1,Latency-Balanced,['UAV_03'],UAV_03,0.0,inf,200,HIT,0.0
100,10,UAV_01,fuel_status_UAV_01,0.1,Latency-Balanced,['UAV_01'],UAV_01,0.0,inf,200,HIT,0.0
100,11,UAV_02,fuel_status_UAV_02,0.1,Latency-Balanced,['UAV_02'],UAV_02,0.0,inf,200,HIT,0.0
100,12,GS_01,low_res_img_UAV_03,5.0,Stability-First,"['GS_01', 'SAT_63578', 'UAV_03']",UAV_03,6.349590165227966,20.0,200,HIT,2006.349590165228
1100,13,GS_01,telemetry_UAV_01,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_01']",UAV_01,6.629955479689586,20.0,200,HIT,46.629955479689585
1100,14,GS_01,telemetry_UAV_02,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_02']",UAV_02,6.6903911106959795,20.0,200,HIT,46.69039111069598
1100,15,GS_01,telemetry_UAV_03,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_03']",UAV_03,6.8376416765152985,20.0,200,HIT,46.8376416765153
1600,16,UAV_02,status_update_UAV_02,0.2,Latency-Balanced,['UAV_02'],UAV_02,0.0,inf,200,HIT,0.0
1600,17,UAV_03,status_update_UAV_03,0.2,Latency-Balanced,['UAV_03'],UAV_03,0.0,inf,200,HIT,0.0
1600,18,UAV_01,status_update_UAV_01,0.2,Latency-Balanced,['UAV_01'],UAV_01,0.0,inf,200,HIT,0.0
2100,19,GS_01,low_res_img_UAV_02,5.0,Stability-First,"['GS_01', 'SAT_63578', 'UAV_02']",UAV_02,6.940077395862264,20.0,200,HIT,2006.9400773958623
2100,20,GS_01,telemetry_UAV_03,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_03']",UAV_03,6.657574268732892,20.0,200,HIT,46.657574268732894
2100,21,GS_01,telemetry_UAV_02,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_02']",UAV_02,6.587341005894956,20.0,200,HIT,46.587341005894956
2100,22,GS_01,low_res_img_UAV_03,5.0,Stability-First,"['GS_01', 'SAT_63578', 'UAV_03']",UAV_03,6.782480855092599,20.0,200,HIT,2006.7824808550927
2100,23,GS_01,telemetry_UAV_01,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_01']",UAV_01,6.957729342996469,20.0,200,HIT,46.95772934299647
2100,24,GS_01,low_res_img_UAV_01,5.0,Stability-First,"['GS_01', 'SAT_63578', 'UAV_01']",UAV_01,6.728528874158638,20.0,200,HIT,2006.7285288741587
3100,25,UAV_01,status_update_UAV_01,0.2,Latency-Balanced,['UAV_01'],UAV_01,0.0,inf,200,HIT,0.0
3100,26,GS_01,telemetry_UAV_02,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_02']",UAV_02,7.009730157434992,20.0,200,HIT,47.009730157434994
3100,27,UAV_03,status_update_UAV_03,0.2,Latency-Balanced,['UAV_03'],UAV_03,0.0,inf,200,HIT,0.0
3100,28,GS_01,telemetry_UAV_01,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_01']",UAV_01,6.71248025767655,20.0,200,HIT,46.712480257676546
3100,29,GS_01,telemetry_UAV_03,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_03']",UAV_03,6.612535912060231,20.0,200,HIT,46.61253591206023
3100,30,UAV_02,status_update_UAV_02,0.2,Latency-Balanced,['UAV_02'],UAV_02,0.0,inf,200,HIT,0.0
4100,31,GS_01,low_res_img_UAV_01,5.0,Stability-First,"['GS_01', 'SAT_63578', 'UAV_01']",UAV_01,6.5030248993857676,20.0,200,HIT,2006.5030248993858
4100,32,GS_01,telemetry_UAV_03,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_03']",UAV_03,7.141803015756953,20.0,200,HIT,47.141803015756956
4100,33,GS_01,telemetry_UAV_02,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_02']",UAV_02,7.225536604140666,20.0,200,HIT,47.225536604140665
4100,34,GS_01,low_res_img_UAV_02,5.0,Stability-First,"['GS_01', 'SAT_63578', 'UAV_02']",UAV_02,6.458523844559762,20.0,200,HIT,2006.4585238445597
4100,35,GS_01,telemetry_UAV_01,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_01']",UAV_01,6.683216550124315,20.0,200,HIT,46.683216550124314
4100,36,GS_01,low_res_img_UAV_03,5.0,Stability-First,"['GS_01', 'SAT_63578', 'UAV_03']",UAV_03,7.2024873147380415,20.0,200,HIT,2007.202487314738
4600,37,UAV_03,status_update_UAV_03,0.2,Latency-Balanced,['UAV_03'],UAV_03,0.0,inf,200,HIT,0.0
4600,38,UAV_01,status_update_UAV_01,0.2,Latency-Balanced,['UAV_01'],UAV_01,0.0,inf,200,HIT,0.0
4600,39,UAV_02,status_update_UAV_02,0.2,Latency-Balanced,['UAV_02'],UAV_02,0.0,inf,200,HIT,0.0
5100,40,UAV_03,fuel_status_UAV_03,0.1,Latency-Balanced,['UAV_03'],UAV_03,0.0,inf,200,HIT,0.0
5100,41,UAV_01,fuel_status_UAV_01,0.1,Latency-Balanced,['UAV_01'],UAV_01,0.0,inf,200,HIT,0.0
5100,42,GS_01,telemetry_UAV_03,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_03']",UAV_03,6.43679720319266,20.0,200,HIT,46.43679720319266
5100,43,GS_01,telemetry_UAV_01,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_01']",UAV_01,6.327039760532336,20.0,200,HIT,46.32703976053234
5100,44,UAV_02,fuel_status_UAV_02,0.1,Latency-Balanced,['UAV_02'],UAV_02,0.0,inf,200,HIT,0.0
5100,45,GS_01,telemetry_UAV_02,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_02']",UAV_02,6.973126218529099,20.0,200,HIT,46.9731262185291
6000,46,GS_01,low_res_img_UAV_03,5.0,Stability-First,"['GS_01', 'SAT_63578', 'UAV_03']",UAV_03,6.836710928575598,20.0,200,HIT,2006.8367109285755
6100,47,UAV_02,status_update_UAV_02,0.2,Latency-Balanced,['UAV_02'],UAV_02,0.0,inf,200,HIT,0.0
6100,48,UAV_01,status_update_UAV_01,0.2,Latency-Balanced,['UAV_01'],UAV_01,0.0,inf,200,HIT,0.0
6100,49,GS_01,telemetry_UAV_01,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_01']",UAV_01,6.792529504652286,20.0,200,HIT,46.792529504652286
6100,50,UAV_03,status_update_UAV_03,0.2,Latency-Balanced,['UAV_03'],UAV_03,0.0,inf,200,HIT,0.0
6100,51,GS_01,telemetry_UAV_02,0.1,Stability-First,"['GS_01', 'SAT_63578', 'UAV_02']",UAV_02,6.431845685937583,20.0,200,HIT,46.43184568593758
